idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
28,Feminino,Parda,Não,TRUE,Minas Gerais (MG),Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 4 a 6 anos,Python,"Amazon Athena, S3, Databricks",Amazon Web Services (AWS),Cientista de Dados/Data Scientist
22,Masculino,Parda,Não,TRUE,Espírito Santo (ES),Graduação/Bacharelado,Outras Engenharias,de 1 a 2 anos,Python,"Oracle, Snowflake",Amazon Web Services (AWS),Analista de Dados/Data Analyst
31,Feminino,Parda,Não,TRUE,Paraná (PR),Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 7 a 10 anos,SQL,Google BigQuery,Google Cloud (GCP),Analista de Dados/Data Analyst
37,Feminino,Branca,Não,TRUE,Paraná (PR),Pós-graduação,Outras Engenharias,Menos de 1 ano,Python,"SQLite, MySQL, PostgreSQL",Azure (Microsoft),Analista de Suporte/Analista Técnico
30,Masculino,Parda,Não,TRUE,Rio de Janeiro (RJ),Mestrado,Química / Física,de 1 a 2 anos,Python,"S3, Amazon Redshift, MySQL, Amazon Athena, SQL SERVER, PostgreSQL",Não sei opinar,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
36,Feminino,Preta,Não,TRUE,Rio de Janeiro (RJ),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Mais de 10 anos,Python,SAP HANA,Google Cloud (GCP),Outra Opção
,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 4 a 6 anos,Python,"MySQL, Firebase",Não sei opinar,Outra Opção
40,Masculino,Amarela,Não,TRUE,São Paulo (SP),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 4 a 6 anos,Python,Google BigQuery,Google Cloud (GCP),Analista de BI/BI Analyst
51,Feminino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Mais de 10 anos,Python,Bases Excel e csv extraídas direto no site,Azure (Microsoft),Analista de BI/BI Analyst
27,Masculino,Parda,Não,TRUE,Pernambuco (PE),Pós-graduação,Outras Engenharias,de 3 a 4 anos,,,,
29,Masculino,Branca,Não,TRUE,São Paulo (SP),Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Menos de 1 ano,Python,Metabase,Não sei opinar,Analista de Dados/Data Analyst
32,Feminino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Mais de 10 anos,,,,
29,Masculino,Branca,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Outra opção,de 3 a 4 anos,Python,"Google BigQuery, PostgreSQL, SQLite, SQL SERVER, MySQL, MongoDB",Azure (Microsoft),Analista de BI/BI Analyst
